"","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1","TRUE","TRUE",NA,"0","0",NA,"TRUE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"N","0","1000","0",NA
"2","TRUE","FALSE",NA,"0","0",NA,"TRUE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,NA,"N","0","1000","0",NA
"3","TRUE","FALSE",NA,"0","1",NA,"TRUE","TRUE","TRUE","TRUE","FALSE",NA,NA,NA,NA,"N","0","1000","0.054",NA
"4","FALSE","TRUE",NA,"1","0",NA,"FALSE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"N","0","1000","0.044",NA
"5","FALSE","TRUE",NA,"0","0",NA,"FALSE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"N","0","1000","0",NA
"6","FALSE","TRUE",NA,"1","1",NA,"FALSE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"A","10","1000",NA,"1"
"7","TRUE","FALSE",NA,"1","1",NA,"TRUE","TRUE","TRUE","TRUE","FALSE",NA,NA,NA,NA,"A","10","1000",NA,"0.995"
"8","TRUE","TRUE",NA,"1","1",NA,"TRUE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"A","10","1000",NA,"1"
"9","TRUE","FALSE",NA,"1","0",NA,"TRUE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,NA,"A","10","1000",NA,"0.049"
"10","FALSE","TRUE",NA,"0","1",NA,"FALSE","TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,"A","3","1000",NA,"0.227"
